Year,League,Tm,#Bat,BatAge,R/G,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,OPS+,TB,GDP,HBP,SH,SF,IBB,LOB
1980,NL,St. Louis Cardinals,42,27.2,4.56,162,6204,5608,738,1541,300,49,101,688,117.0,54.0,451,781.0,0.275,0.328,.400,0.728,100,2242,141.0,21.0,73.0,49.0,74.0,1110.0
1980,AL,Baltimore Orioles,34,29.7,4.97,162,6282,5585,805,1523,258,29,156,751,111.0,38.0,587,766.0,0.273,0.342,.413,0.755,107,2307,158.0,21.0,42.0,46.0,38.0,1153.0
1980,AL,Boston Red Sox,41,29.5,4.73,160,6200,5603,757,1588,297,36,162,717,79.0,48.0,475,720.0,0.283,0.34,.436,0.776,107,2443,151.0,32.0,40.0,50.0,48.0,1135.0
1980,AL,California Angels,41,29.1,4.36,160,6134,5443,698,1442,236,32,106,655,91.0,63.0,539,889.0,0.265,0.332,.378,0.71,98,2060,141.0,32.0,71.0,49.0,38.0,1113.0
1980,AL,Chicago White Sox,39,26.7,3.62,162,6001,5444,587,1408,255,38,91,547,68.0,54.0,399,670.0,0.259,0.311,.370,0.681,87,2012,142.0,39.0,67.0,51.0,46.0,1078.0
1980,AL,Cleveland Indians,33,27.7,4.61,160,6259,5470,738,1517,221,40,89,692,118.0,58.0,617,625.0,0.277,0.35,.381,0.731,100,2085,165.0,37.0,60.0,74.0,51.0,1231.0
1980,AL,Detroit Tigers,34,26.4,5.09,163,6444,5648,830,1543,232,53,143,767,75.0,68.0,645,844.0,0.273,0.348,.409,0.757,106,2310,144.0,33.0,63.0,55.0,35.0,1219.0
1980,AL,Kansas City Royals,37,27.7,4.99,162,6357,5714,809,1633,266,59,115,766,185.0,43.0,508,709.0,0.286,0.345,.413,0.758,108,2362,147.0,38.0,34.0,63.0,45.0,1209.0
1980,AL,Milwaukee Brewers,33,28.0,5.01,162,6242,5653,811,1555,298,36,203,774,131.0,56.0,455,745.0,0.275,0.329,.448,0.777,114,2534,98.0,25.0,58.0,51.0,59.0,1100.0
1980,AL,Minnesota Twins,36,26.6,4.16,161,6131,5530,670,1468,252,46,99,634,62.0,46.0,436,703.0,0.265,0.319,.381,0.7,86,2109,151.0,21.0,92.0,51.0,40.0,1098.0
1980,AL,New York Yankees,39,30.0,5.06,162,6329,5553,820,1484,239,34,189,772,86.0,36.0,643,739.0,0.267,0.343,.425,0.768,112,2358,136.0,28.0,51.0,54.0,58.0,1178.0
1980,AL,Oakland Athletics,34,26.6,4.23,162,6160,5495,686,1424,212,35,137,635,175.0,82.0,506,824.0,0.259,0.322,.385,0.707,100,2117,124.0,19.0,99.0,41.0,49.0,1076.0
1980,AL,Seattle Mariners,34,28.6,3.74,163,6142,5489,610,1359,211,35,104,564,116.0,62.0,483,727.0,0.248,0.308,.356,0.664,81,1952,136.0,19.0,106.0,44.0,44.0,1095.0
1980,AL,Texas Rangers,41,30.0,4.64,163,6320,5690,756,1616,263,27,124,720,91.0,49.0,480,589.0,0.284,0.339,.405,0.744,107,2305,156.0,23.0,70.0,56.0,51.0,1186.0
1980,AL,Toronto Blue Jays,37,25.8,3.85,162,6149,5571,624,1398,249,53,126,580,67.0,72.0,448,813.0,0.251,0.309,.383,0.691,85,2131,119.0,33.0,63.0,34.0,44.0,1083.0
1985,NL,Atlanta Braves,33,28.1,3.9,162,6208,5526,632,1359,213,28,126,598,72.0,52.0,553,849.0,0.246,0.315,.363,0.678,86,2006,154.0,22.0,65.0,41.0,56.0,1163.0
1985,NL,Chicago Cubs,40,30.2,4.23,162,6177,5492,686,1397,239,28,150,640,182.0,49.0,562,937.0,0.254,0.324,.390,0.714,91,2142,119.0,18.0,66.0,39.0,62.0,1147.0
1985,NL,Cincinnati Reds,37,31.4,4.18,162,6145,5431,677,1385,249,34,114,634,159.0,70.0,576,856.0,0.255,0.327,.376,0.703,94,2044,136.0,23.0,72.0,41.0,72.0,1134.0
1985,NL,Houston Astros,38,29.9,4.36,162,6192,5582,706,1457,261,42,121,666,96.0,56.0,477,873.0,0.261,0.319,.388,0.707,100,2165,127.0,23.0,66.0,44.0,63.0,1117.0
1985,NL,Los Angeles Dodgers,41,27.7,4.21,162,6224,5502,682,1434,226,28,129,632,136.0,58.0,539,846.0,0.261,0.328,.382,0.71,102,2103,108.0,31.0,104.0,46.0,69.0,1187.0
1985,NL,Montreal Expos,44,27.7,3.93,161,6053,5429,633,1342,242,49,118,593,169.0,77.0,492,880.0,0.247,0.31,.375,0.685,96,2036,112.0,26.0,61.0,45.0,73.0,1061.0
1985,NL,New York Mets,38,28.1,4.29,162,6248,5549,695,1425,239,35,134,651,117.0,53.0,546,872.0,0.257,0.323,.385,0.708,99,2136,131.0,20.0,89.0,44.0,88.0,1149.0
