newspaper,league,date,url
The Washington tribune. [volume],eastern colored league,1924-06-14,https://chroniclingamerica.loc.gov/lccn/sn87062236/1924-06-14/ed-1/seq-4.pdf
The Washington tribune. [volume],eastern colored league,1924-09-20,https://chroniclingamerica.loc.gov/lccn/sn87062236/1924-09-20/ed-1/seq-4.pdf
The Washington times. [volume],eastern colored league,1924-03-25,https://chroniclingamerica.loc.gov/lccn/sn84026749/1924-03-25/ed-1/seq-19.pdf
The Washington tribune. [volume],eastern colored league,1926-10-01,https://chroniclingamerica.loc.gov/lccn/sn87062236/1926-10-01/ed-1/seq-6.pdf
The Washington tribune. [volume],eastern colored league,1927-06-10,https://chroniclingamerica.loc.gov/lccn/sn87062236/1927-06-10/ed-1/seq-7.pdf
The Washington tribune. [volume],eastern colored league,1924-03-01,https://chroniclingamerica.loc.gov/lccn/sn87062236/1924-03-01/ed-1/seq-4.pdf
The Washington tribune. [volume],eastern colored league,1925-07-11,https://chroniclingamerica.loc.gov/lccn/sn87062236/1925-07-11/ed-1/seq-4.pdf
The Washington tribune. [volume],eastern colored league,1925-04-18,https://chroniclingamerica.loc.gov/lccn/sn87062236/1925-04-18/ed-1/seq-4.pdf
The freeman. [volume],eastern colored league,1908-02-15,https://chroniclingamerica.loc.gov/lccn/sn82016211/1908-02-15/ed-1/seq-6.pdf
The Washington tribune. [volume],eastern colored league,1924-05-03,https://chroniclingamerica.loc.gov/lccn/sn87062236/1924-05-03/ed-1/seq-4.pdf
The Washington tribune. [volume],eastern colored league,1924-05-31,https://chroniclingamerica.loc.gov/lccn/sn87062236/1924-05-31/ed-1/seq-4.pdf
The Washington tribune. [volume],eastern colored league,1924-11-29,https://chroniclingamerica.loc.gov/lccn/sn87062236/1924-11-29/ed-1/seq-4.pdf
The Washington tribune. [volume],eastern colored league,1925-06-13,https://chroniclingamerica.loc.gov/lccn/sn87062236/1925-06-13/ed-1/seq-4.pdf
The Washington tribune. [volume],eastern colored league,1924-07-12,https://chroniclingamerica.loc.gov/lccn/sn87062236/1924-07-12/ed-1/seq-4.pdf
The Washington tribune. [volume],eastern colored league,1927-06-17,https://chroniclingamerica.loc.gov/lccn/sn87062236/1927-06-17/ed-1/seq-7.pdf
The Washington tribune. [volume],eastern colored league,1926-04-30,https://chroniclingamerica.loc.gov/lccn/sn87062236/1926-04-30/ed-1/seq-6.pdf
The Washington tribune. [volume],eastern colored league,1926-06-25,https://chroniclingamerica.loc.gov/lccn/sn87062236/1926-06-25/ed-1/seq-6.pdf
The Washington tribune. [volume],eastern colored league,1925-06-20,https://chroniclingamerica.loc.gov/lccn/sn87062236/1925-06-20/ed-1/seq-4.pdf
The Washington tribune. [volume],eastern colored league,1924-08-16,https://chroniclingamerica.loc.gov/lccn/sn87062236/1924-08-16/ed-1/seq-4.pdf
The Washington tribune. [volume],eastern colored league,1924-08-30,https://chroniclingamerica.loc.gov/lccn/sn87062236/1924-08-30/ed-1/seq-4.pdf
The Washington tribune. [volume],eastern colored league,1927-02-11,https://chroniclingamerica.loc.gov/lccn/sn87062236/1927-02-11/ed-1/seq-6.pdf
The Washington tribune. [volume],eastern colored league,1925-07-04,https://chroniclingamerica.loc.gov/lccn/sn87062236/1925-07-04/ed-1/seq-4.pdf
The Washington tribune. [volume],eastern colored league,1927-12-30,https://chroniclingamerica.loc.gov/lccn/sn87062236/1927-12-30/ed-1/seq-7.pdf
The Washington tribune. [volume],eastern colored league,1927-05-20,https://chroniclingamerica.loc.gov/lccn/sn87062236/1927-05-20/ed-1/seq-7.pdf
The Pleasantville press.,eastern colored league,1927-09-02,https://chroniclingamerica.loc.gov/lccn/sn91064030/1927-09-02/ed-1/seq-7.pdf
The Washington tribune. [volume],eastern colored league,1926-06-04,https://chroniclingamerica.loc.gov/lccn/sn87062236/1926-06-04/ed-1/seq-6.pdf
The Washington tribune. [volume],eastern colored league,1927-09-09,https://chroniclingamerica.loc.gov/lccn/sn87062236/1927-09-09/ed-1/seq-7.pdf
The Washington tribune. [volume],eastern colored league,1925-09-26,https://chroniclingamerica.loc.gov/lccn/sn87062236/1925-09-26/ed-1/seq-4.pdf
The Washington times. [volume],eastern colored league,1924-06-11,https://chroniclingamerica.loc.gov/lccn/sn84026749/1924-06-11/ed-1/seq-23.pdf
The Washington tribune. [volume],eastern colored league,1925-08-22,https://chroniclingamerica.loc.gov/lccn/sn87062236/1925-08-22/ed-1/seq-4.pdf
The Washington tribune. [volume],eastern colored league,1927-04-01,https://chroniclingamerica.loc.gov/lccn/sn87062236/1927-04-01/ed-1/seq-6.pdf
The Washington tribune. [volume],eastern colored league,1925-03-07,https://chroniclingamerica.loc.gov/lccn/sn87062236/1925-03-07/ed-1/seq-4.pdf
The Washington times. [volume],eastern colored league,1927-09-30,https://chroniclingamerica.loc.gov/lccn/sn84026749/1927-09-30/ed-1/seq-28.pdf
The Washington tribune. [volume],eastern colored league,1927-07-29,https://chroniclingamerica.loc.gov/lccn/sn87062236/1927-07-29/ed-1/seq-8.pdf
The Washington tribune. [volume],eastern colored league,1927-06-03,https://chroniclingamerica.loc.gov/lccn/sn87062236/1927-06-03/ed-1/seq-5.pdf
The Washington times. [volume],eastern colored league,1924-04-24,https://chroniclingamerica.loc.gov/lccn/sn84026749/1924-04-24/ed-1/seq-26.pdf
The Washington tribune. [volume],eastern colored league,1927-07-01,https://chroniclingamerica.loc.gov/lccn/sn87062236/1927-07-01/ed-1/seq-7.pdf
The Washington times. [volume],eastern colored league,1924-04-25,https://chroniclingamerica.loc.gov/lccn/sn84026749/1924-04-25/ed-1/seq-22.pdf
The Washington tribune. [volume],eastern colored league,1927-05-27,https://chroniclingamerica.loc.gov/lccn/sn87062236/1927-05-27/ed-1/seq-9.pdf
The Washington tribune. [volume],eastern colored league,1927-05-27,https://chroniclingamerica.loc.gov/lccn/sn87062236/1927-05-27/ed-1/seq-7.pdf
The Bismarck tribune. [volume],eastern colored league,1936-08-08,https://chroniclingamerica.loc.gov/lccn/sn85042243/1936-08-08/ed-1/seq-8.pdf
Arkansas State press. [volume],eastern colored league,1951-03-30,https://chroniclingamerica.loc.gov/lccn/sn84025840/1951-03-30/ed-1/seq-3.pdf
The Washington tribune. [volume],eastern colored league,1924-08-09,https://chroniclingamerica.loc.gov/lccn/sn87062236/1924-08-09/ed-1/seq-4.pdf
The Washington tribune. [volume],eastern colored league,1927-01-21,https://chroniclingamerica.loc.gov/lccn/sn87062236/1927-01-21/ed-1/seq-6.pdf
