newspaper,league,date,url
The Washburn leader. [volume],players league,1890-08-09,https://chroniclingamerica.loc.gov/lccn/sn85000631/1890-08-09/ed-1/seq-3.pdf
The Cheyenne daily leader. [volume],players league,1890-07-29,https://chroniclingamerica.loc.gov/lccn/sn86072173/1890-07-29/ed-1/seq-4.pdf
Pittsburg dispatch. [volume],players league,1890-03-30,https://chroniclingamerica.loc.gov/lccn/sn84024546/1890-03-30/ed-1/seq-6.pdf
Pittsburg dispatch. [volume],players league,1890-11-16,https://chroniclingamerica.loc.gov/lccn/sn84024546/1890-11-16/ed-1/seq-16.pdf
The Calumet news. [volume],players league,1914-02-03,https://chroniclingamerica.loc.gov/lccn/sn86086633/1914-02-03/ed-1/seq-7.pdf
Pittsburg dispatch. [volume],players league,1890-11-12,https://chroniclingamerica.loc.gov/lccn/sn84024546/1890-11-12/ed-1/seq-6.pdf
Rock Island Argus.,players league,1914-11-12,https://chroniclingamerica.loc.gov/lccn/sn92053934/1914-11-12/ed-1/seq-10.pdf
The Wichita daily eagle. [volume],players league,1890-05-17,https://chroniclingamerica.loc.gov/lccn/sn82014635/1890-05-17/ed-1/seq-2.pdf
The Wichita daily eagle. [volume],players league,1890-12-02,https://chroniclingamerica.loc.gov/lccn/sn82014635/1890-12-02/ed-1/seq-5.pdf
Wichita eagle. [volume],players league,1890-01-02,https://chroniclingamerica.loc.gov/lccn/sn85032490/1890-01-02/ed-1/seq-2.pdf
The Cheyenne daily leader. [volume],players league,1890-06-03,https://chroniclingamerica.loc.gov/lccn/sn86072173/1890-06-03/ed-1/seq-4.pdf
The Bridgeport evening farmer. [volume],players league,1916-11-04,https://chroniclingamerica.loc.gov/lccn/sn84022472/1916-11-04/ed-1/seq-10.pdf
The Montgomery advertiser. [volume],players league,1915-01-14,https://chroniclingamerica.loc.gov/lccn/sn84020645/1915-01-14/ed-1/seq-8.pdf
Fisherman & farmer. [volume],players league,1890-08-22,https://chroniclingamerica.loc.gov/lccn/sn91068084/1890-08-22/ed-1/seq-3.pdf
The Salt Lake herald. [volume],players league,1890-02-02,https://chroniclingamerica.loc.gov/lccn/sn85058130/1890-02-02/ed-1/seq-13.pdf
Fisherman & farmer. [volume],players league,1890-05-23,https://chroniclingamerica.loc.gov/lccn/sn91068084/1890-05-23/ed-1/seq-7.pdf
Daily Yellowstone journal. [volume],players league,1890-11-09,https://chroniclingamerica.loc.gov/lccn/sn86075021/1890-11-09/ed-1/seq-4.pdf
Los Angeles herald. [volume],players league,1890-05-24,https://chroniclingamerica.loc.gov/lccn/sn84025968/1890-05-24/ed-1/seq-1.pdf
Pittsburg dispatch. [volume],players league,1890-08-24,https://chroniclingamerica.loc.gov/lccn/sn84024546/1890-08-24/ed-1/seq-14.pdf
The Hope pioneer. [volume],players league,1922-05-11,https://chroniclingamerica.loc.gov/lccn/sn87096037/1922-05-11/ed-1/seq-1.pdf
The Salt Lake tribune. [volume],players league,1910-04-27,https://chroniclingamerica.loc.gov/lccn/sn83045396/1910-04-27/ed-1/seq-11.pdf
The Ogden standard. [volume],players league,1914-10-28,https://chroniclingamerica.loc.gov/lccn/sn85058396/1914-10-28/ed-1/seq-2.pdf
The Wichita daily eagle. [volume],players league,1890-06-04,https://chroniclingamerica.loc.gov/lccn/sn82014635/1890-06-04/ed-1/seq-7.pdf
The Hawaiian star. [volume],players league,1905-02-24,https://chroniclingamerica.loc.gov/lccn/sn82015415/1905-02-24/ed-1/seq-4.pdf
Evening journal. [volume],players league,1890-09-04,https://chroniclingamerica.loc.gov/lccn/sn85042354/1890-09-04/ed-1/seq-1.pdf
The Wichita daily eagle. [volume],players league,1890-10-31,https://chroniclingamerica.loc.gov/lccn/sn82014635/1890-10-31/ed-1/seq-7.pdf
The Cheyenne daily leader. [volume],players league,1890-09-30,https://chroniclingamerica.loc.gov/lccn/sn86072173/1890-09-30/ed-1/seq-4.pdf
The Worcester spy. [volume],players league,1904-03-14,https://chroniclingamerica.loc.gov/lccn/sn86086481/1904-03-14/ed-1/seq-3.pdf
The Seward gateway and the Alaska evening post. [volume],players league,1917-03-17,https://chroniclingamerica.loc.gov/lccn/sn87062015/1917-03-17/ed-1/seq-7.pdf
Pittsburg dispatch. [volume],players league,1889-12-23,https://chroniclingamerica.loc.gov/lccn/sn84024546/1889-12-23/ed-1/seq-6.pdf
Wheeling Sunday register. [volume],players league,1890-12-07,https://chroniclingamerica.loc.gov/lccn/sn86092523/1890-12-07/ed-1/seq-3.pdf
The Milwaukee leader. [volume],players league,1915-01-20,https://chroniclingamerica.loc.gov/lccn/sn83045293/1915-01-20/ed-1/seq-4.pdf
The Salt Lake herald. [volume],players league,1890-02-23,https://chroniclingamerica.loc.gov/lccn/sn85058130/1890-02-23/ed-1/seq-14.pdf
The Seattle post-intelligencer. [volume],players league,1891-01-05,https://chroniclingamerica.loc.gov/lccn/sn83045604/1891-01-05/ed-1/seq-3.pdf
The Salt Lake herald. [volume],players league,1890-02-16,https://chroniclingamerica.loc.gov/lccn/sn85058130/1890-02-16/ed-1/seq-11.pdf
The Washington times. [volume],players league,1915-07-09,https://chroniclingamerica.loc.gov/lccn/sn84026749/1915-07-09/ed-1/seq-15.pdf
The Bridgeport times and evening farmer.,players league,1918-01-30,https://chroniclingamerica.loc.gov/lccn/sn92051227/1918-01-30/ed-1/seq-8.pdf
The Salt Lake herald. [volume],players league,1891-02-10,https://chroniclingamerica.loc.gov/lccn/sn85058130/1891-02-10/ed-1/seq-2.pdf
