newspaper,league,date,url
The Richmond palladium and sun-telegram. [volume],players league,1922-04-14,https://chroniclingamerica.loc.gov/lccn/sn86058226/1922-04-14/ed-1/seq-17.pdf
Waterbury evening Democrat. [volume],players league,1898-10-15,https://chroniclingamerica.loc.gov/lccn/2016270503/1898-10-15/ed-1/seq-7.pdf
The Detroit times. [volume],players league,1914-05-26,https://chroniclingamerica.loc.gov/lccn/sn83016689/1914-05-26/ed-1/seq-6.pdf
Evening journal. [volume],players league,1914-09-29,https://chroniclingamerica.loc.gov/lccn/sn85042354/1914-09-29/ed-1/seq-12.pdf
New Britain herald. [microfilm reel],players league,1916-01-27,https://chroniclingamerica.loc.gov/lccn/sn82014519/1916-01-27/ed-1/seq-8.pdf
The Indianapolis times. [volume],players league,1922-08-26,https://chroniclingamerica.loc.gov/lccn/sn82015313/1922-08-26/ed-1/seq-11.pdf
The Seattle star. [volume],players league,1923-01-31,https://chroniclingamerica.loc.gov/lccn/sn87093407/1923-01-31/ed-1/seq-12.pdf
The Richmond Virginian.,players league,1915-02-07,https://chroniclingamerica.loc.gov/lccn/sn90052005/1915-02-07/ed-1/seq-15.pdf
Atlanta Georgian. [volume],players league,1914-10-07,https://chroniclingamerica.loc.gov/lccn/sn89053729/1914-10-07/ed-4/seq-7.pdf
The Milwaukee leader. [volume],players league,1915-01-22,https://chroniclingamerica.loc.gov/lccn/sn83045293/1915-01-22/ed-1/seq-9.pdf
The Montgomery advertiser. [volume],players league,1910-09-20,https://chroniclingamerica.loc.gov/lccn/sn84020645/1910-09-20/ed-1/seq-9.pdf
Wichita eagle. [volume],players league,1889-12-07,https://chroniclingamerica.loc.gov/lccn/sn85032490/1889-12-07/ed-1/seq-7.pdf
The Washington herald. [volume],players league,1914-01-11,https://chroniclingamerica.loc.gov/lccn/sn83045433/1914-01-11/ed-1/seq-35.pdf
Pittsburg dispatch. [volume],players league,1890-10-05,https://chroniclingamerica.loc.gov/lccn/sn84024546/1890-10-05/ed-1/seq-14.pdf
Waterbury evening Democrat. [volume],players league,1890-08-05,https://chroniclingamerica.loc.gov/lccn/sn94053256/1890-08-05/ed-1/seq-1.pdf
The Superior times. [volume],players league,1909-02-20,https://chroniclingamerica.loc.gov/lccn/sn85040344/1909-02-20/ed-1/seq-7.pdf
The Bridgeport evening farmer. [volume],players league,1916-06-23,https://chroniclingamerica.loc.gov/lccn/sn84022472/1916-06-23/ed-1/seq-13.pdf
The Topeka state journal. [volume],players league,1906-12-06,https://chroniclingamerica.loc.gov/lccn/sn82016014/1906-12-06/ed-1/seq-2.pdf
South Bend news-times.,players league,1919-03-17,https://chroniclingamerica.loc.gov/lccn/sn87055779/1919-03-17/ed-1/seq-8.pdf
Evening journal. [volume],players league,1916-01-18,https://chroniclingamerica.loc.gov/lccn/sn85042354/1916-01-18/ed-1/seq-12.pdf
The Key West citizen. [volume],players league,1954-07-24,https://chroniclingamerica.loc.gov/lccn/sn83016244/1954-07-24/ed-1/seq-10.pdf
The Birmingham age-herald. [volume],players league,1915-02-26,https://chroniclingamerica.loc.gov/lccn/sn85038485/1915-02-26/ed-1/seq-7.pdf
Atlanta Georgian. [volume],players league,1913-01-08,https://chroniclingamerica.loc.gov/lccn/sn89053729/1913-01-08/ed-3/seq-6.pdf
The Cheyenne daily leader. [volume],players league,1892-01-10,https://chroniclingamerica.loc.gov/lccn/sn86072173/1892-01-10/ed-1/seq-2.pdf
Atlanta Georgian. [volume],players league,1913-11-05,https://chroniclingamerica.loc.gov/lccn/sn89053729/1913-11-05/ed-3/seq-8.pdf
The Milwaukee leader. [volume],players league,1914-11-11,https://chroniclingamerica.loc.gov/lccn/sn83045293/1914-11-11/ed-1/seq-5.pdf
The Milwaukee leader. [volume],players league,1915-02-23,https://chroniclingamerica.loc.gov/lccn/sn83045293/1915-02-23/ed-1/seq-4.pdf
Waterbury evening Democrat. [volume],players league,1890-09-23,https://chroniclingamerica.loc.gov/lccn/sn94053256/1890-09-23/ed-1/seq-1.pdf
Waterbury evening Democrat. [volume],players league,1889-12-23,https://chroniclingamerica.loc.gov/lccn/sn94053256/1889-12-23/ed-1/seq-1.pdf
Fisherman & farmer. [volume],players league,1890-09-19,https://chroniclingamerica.loc.gov/lccn/sn91068084/1890-09-19/ed-1/seq-7.pdf
Los Angeles herald. [volume],players league,1891-01-17,https://chroniclingamerica.loc.gov/lccn/sn84025968/1891-01-17/ed-1/seq-1.pdf
Norwich bulletin. [volume],players league,1914-11-24,https://chroniclingamerica.loc.gov/lccn/sn82014086/1914-11-24/ed-1/seq-3.pdf
The Indianapolis times. [volume],players league,1925-11-14,https://chroniclingamerica.loc.gov/lccn/sn82015313/1925-11-14/ed-1/seq-4.pdf
Newark evening star and Newark advertiser. [volume],players league,1914-09-11,https://chroniclingamerica.loc.gov/lccn/sn91064011/1914-09-11/ed-1/seq-18.pdf
Newark evening star and Newark advertiser. [volume],players league,1914-10-30,https://chroniclingamerica.loc.gov/lccn/sn91064011/1914-10-30/ed-1/seq-21.pdf
The Milwaukee leader. [volume],players league,1914-10-28,https://chroniclingamerica.loc.gov/lccn/sn83045293/1914-10-28/ed-1/seq-5.pdf
The Milwaukee leader. [volume],players league,1914-11-27,https://chroniclingamerica.loc.gov/lccn/sn83045293/1914-11-27/ed-1/seq-10.pdf
Waterbury evening Democrat. [volume],players league,1890-07-02,https://chroniclingamerica.loc.gov/lccn/sn94053256/1890-07-02/ed-1/seq-1.pdf
Fort Worth daily gazette.,players league,1890-08-11,https://chroniclingamerica.loc.gov/lccn/sn86064205/1890-08-11/ed-1/seq-2.pdf
Bismarck daily tribune. [volume],players league,1915-01-29,https://chroniclingamerica.loc.gov/lccn/sn85042242/1915-01-29/ed-1/seq-8.pdf
Rock Island Argus.,players league,1914-11-18,https://chroniclingamerica.loc.gov/lccn/sn92053934/1914-11-18/ed-1/seq-10.pdf
The Bridgeport times and evening farmer.,players league,1919-05-05,https://chroniclingamerica.loc.gov/lccn/sn92051227/1919-05-05/ed-1/seq-6.pdf
The Ogden standard. [volume],players league,1915-01-13,https://chroniclingamerica.loc.gov/lccn/sn85058396/1915-01-13/ed-1/seq-2.pdf
The Ogden standard. [volume],players league,1915-01-29,https://chroniclingamerica.loc.gov/lccn/sn85058396/1915-01-29/ed-1/seq-2.pdf
Evening journal. [volume],players league,1914-09-18,https://chroniclingamerica.loc.gov/lccn/sn85042354/1914-09-18/ed-1/seq-12.pdf
The Fargo forum and daily republican. [volume],players league,1909-01-27,https://chroniclingamerica.loc.gov/lccn/sn85042224/1909-01-27/ed-1/seq-3.pdf
Perth Amboy evening news. [volume],players league,1915-01-11,https://chroniclingamerica.loc.gov/lccn/sn85035720/1915-01-11/ed-2/seq-9.pdf
The Detroit times. [volume],players league,1908-10-09,https://chroniclingamerica.loc.gov/lccn/sn83016689/1908-10-09/ed-1/seq-8.pdf
Pine Bluff daily graphic.,players league,1914-08-09,https://chroniclingamerica.loc.gov/lccn/sn89051168/1914-08-09/ed-1/seq-5.pdf
Pine Bluff daily graphic.,players league,1914-10-25,https://chroniclingamerica.loc.gov/lccn/sn89051168/1914-10-25/ed-1/seq-5.pdf
The Laramie Republican.,players league,1914-12-29,https://chroniclingamerica.loc.gov/lccn/sn92066979/1914-12-29/ed-1/seq-4.pdf
The Laramie Republican.,players league,1916-01-13,https://chroniclingamerica.loc.gov/lccn/sn92066979/1916-01-13/ed-1/seq-4.pdf
San Antonio light and gazette. [volume],players league,1910-05-03,https://chroniclingamerica.loc.gov/lccn/sn86090238/1910-05-03/ed-1/seq-10.pdf
Pittsburg dispatch. [volume],players league,1889-12-12,https://chroniclingamerica.loc.gov/lccn/sn84024546/1889-12-12/ed-1/seq-6.pdf
Pittsburg dispatch. [volume],players league,1890-10-26,https://chroniclingamerica.loc.gov/lccn/sn84024546/1890-10-26/ed-1/seq-14.pdf
The evening world. [volume],players league,1890-08-28,https://chroniclingamerica.loc.gov/lccn/sn83030193/1890-08-28/ed-4/seq-1.pdf
Gloucester County Democrat.,players league,1890-08-14,https://chroniclingamerica.loc.gov/lccn/sn87068079/1890-08-14/ed-1/seq-1.pdf
Waterbury evening Democrat. [volume],players league,1890-10-20,https://chroniclingamerica.loc.gov/lccn/sn94053256/1890-10-20/ed-1/seq-1.pdf
The Washburn leader. [volume],players league,1890-10-04,https://chroniclingamerica.loc.gov/lccn/sn85000631/1890-10-04/ed-1/seq-2.pdf
The Wichita daily eagle. [volume],players league,1890-04-23,https://chroniclingamerica.loc.gov/lccn/sn82014635/1890-04-23/ed-1/seq-2.pdf
The Jersey City news.,players league,1890-08-27,https://chroniclingamerica.loc.gov/lccn/sn87068097/1890-08-27/ed-1/seq-3.pdf
The morning news. [volume],players league,1890-04-14,https://chroniclingamerica.loc.gov/lccn/sn86063034/1890-04-14/ed-1/seq-8.pdf
The Jamesburg record. [volume],players league,1890-04-26,https://chroniclingamerica.loc.gov/lccn/sn85035661/1890-04-26/ed-1/seq-1.pdf
The Monmouth inquirer. [volume],players league,1890-04-24,https://chroniclingamerica.loc.gov/lccn/sn83032307/1890-04-24/ed-1/seq-8.pdf
Fort Worth daily gazette.,players league,1890-11-13,https://chroniclingamerica.loc.gov/lccn/sn86064205/1890-11-13/ed-1/seq-2.pdf
The Waterbury Democrat. [volume],players league,1943-07-15,https://chroniclingamerica.loc.gov/lccn/sn82014085/1943-07-15/ed-1/seq-13.pdf
Evening public ledger. [volume],players league,1915-01-21,https://chroniclingamerica.loc.gov/lccn/sn83045211/1915-01-21/ed-1/seq-12.pdf
Newark evening star and Newark advertiser. [volume],players league,1915-06-17,https://chroniclingamerica.loc.gov/lccn/sn91064011/1915-06-17/ed-1/seq-12.pdf
The New Haven union.,players league,1909-07-18,https://chroniclingamerica.loc.gov/lccn/sn92051126/1909-07-18/ed-1/seq-8.pdf
Pittsburg dispatch. [volume],players league,1890-05-25,https://chroniclingamerica.loc.gov/lccn/sn84024546/1890-05-25/ed-1/seq-7.pdf
Pittsburg dispatch. [volume],players league,1890-06-29,https://chroniclingamerica.loc.gov/lccn/sn84024546/1890-06-29/ed-1/seq-6.pdf
Pittsburg dispatch. [volume],players league,1890-12-14,https://chroniclingamerica.loc.gov/lccn/sn84024546/1890-12-14/ed-1/seq-6.pdf
Pittsburg dispatch. [volume],players league,1889-12-30,https://chroniclingamerica.loc.gov/lccn/sn84024546/1889-12-30/ed-1/seq-6.pdf
Evening journal. [volume],players league,1891-01-17,https://chroniclingamerica.loc.gov/lccn/sn85042354/1891-01-17/ed-1/seq-2.pdf
Lancaster daily intelligencer. [volume],players league,1890-05-03,https://chroniclingamerica.loc.gov/lccn/sn83032300/1890-05-03/ed-1/seq-4.pdf
Fort Worth daily gazette.,players league,1890-10-22,https://chroniclingamerica.loc.gov/lccn/sn86064205/1890-10-22/ed-1/seq-2.pdf
Pittsburg dispatch. [volume],players league,1890-06-02,https://chroniclingamerica.loc.gov/lccn/sn84024546/1890-06-02/ed-1/seq-6.pdf
Pittsburg dispatch. [volume],players league,1890-05-02,https://chroniclingamerica.loc.gov/lccn/sn84024546/1890-05-02/ed-1/seq-12.pdf
Pittsburg dispatch. [volume],players league,1890-02-06,https://chroniclingamerica.loc.gov/lccn/sn84024546/1890-02-06/ed-1/seq-6.pdf
Pittsburg dispatch. [volume],players league,1890-09-24,https://chroniclingamerica.loc.gov/lccn/sn84024546/1890-09-24/ed-1/seq-6.pdf
The Bridgeport evening farmer. [volume],players league,1915-06-15,https://chroniclingamerica.loc.gov/lccn/sn84022472/1915-06-15/ed-1/seq-8.pdf
South Bend news-times.,players league,1920-04-14,https://chroniclingamerica.loc.gov/lccn/sn87055779/1920-04-14/ed-1/seq-8.pdf
Harrisburg telegraph. [volume],players league,1915-03-04,https://chroniclingamerica.loc.gov/lccn/sn85038411/1915-03-04/ed-1/seq-10.pdf
Grand Forks daily herald.,players league,1915-06-16,https://chroniclingamerica.loc.gov/lccn/sn89074405/1915-06-16/ed-1/seq-10.pdf
The San Francisco call. [volume],players league,1913-11-18,https://chroniclingamerica.loc.gov/lccn/sn85066387/1913-11-18/ed-1/seq-7.pdf
The Minneapolis journal. [volume],players league,1906-04-15,https://chroniclingamerica.loc.gov/lccn/sn83045366/1906-04-15/ed-1/seq-40.pdf
Forest City press.,players league,1912-04-04,https://chroniclingamerica.loc.gov/lccn/sn93057084/1912-04-04/ed-1/seq-4.pdf
Honolulu star-bulletin. [volume],players league,1914-07-10,https://chroniclingamerica.loc.gov/lccn/sn82014682/1914-07-10/ed-2/seq-9.pdf
Perth Amboy evening news. [volume],players league,1922-08-15,https://chroniclingamerica.loc.gov/lccn/sn85035720/1922-08-15/ed-2/seq-11.pdf
The Wilmington morning star. [volume],players league,1943-03-25,https://chroniclingamerica.loc.gov/lccn/sn78002169/1943-03-25/ed-1/seq-8.pdf
New Britain herald. [microfilm reel],players league,1921-02-10,https://chroniclingamerica.loc.gov/lccn/sn82014519/1921-02-10/ed-1/seq-4.pdf
The Detroit times. [volume],players league,1913-02-05,https://chroniclingamerica.loc.gov/lccn/sn83016689/1913-02-05/ed-1/seq-1.pdf
Evening journal. [volume],players league,1914-11-21,https://chroniclingamerica.loc.gov/lccn/sn85042354/1914-11-21/ed-1/seq-8.pdf
The Fargo forum and daily republican. [volume],players league,1915-08-03,https://chroniclingamerica.loc.gov/lccn/sn85042224/1915-08-03/ed-1/seq-6.pdf
Atlanta Georgian. [volume],players league,1912-08-21,https://chroniclingamerica.loc.gov/lccn/sn89053729/1912-08-21/ed-2/seq-5.pdf
Atlanta Georgian. [volume],players league,1912-07-15,https://chroniclingamerica.loc.gov/lccn/sn89053729/1912-07-15/ed-1/seq-12.pdf
Atlanta Georgian. [volume],players league,1912-07-15,https://chroniclingamerica.loc.gov/lccn/sn89053729/1912-07-15/ed-3/seq-12.pdf
Atlanta Georgian. [volume],players league,1912-07-15,https://chroniclingamerica.loc.gov/lccn/sn89053729/1912-07-15/ed-2/seq-6.pdf
The Montgomery advertiser. [volume],players league,1914-01-27,https://chroniclingamerica.loc.gov/lccn/sn84020645/1914-01-27/ed-1/seq-9.pdf
Pittsburg dispatch. [volume],players league,1890-12-07,https://chroniclingamerica.loc.gov/lccn/sn84024546/1890-12-07/ed-1/seq-16.pdf
Pittsburg dispatch. [volume],players league,1890-08-17,https://chroniclingamerica.loc.gov/lccn/sn84024546/1890-08-17/ed-1/seq-6.pdf
Waterbury evening Democrat. [volume],players league,1890-04-21,https://chroniclingamerica.loc.gov/lccn/sn94053256/1890-04-21/ed-1/seq-2.pdf
Waterbury evening Democrat. [volume],players league,1890-03-31,https://chroniclingamerica.loc.gov/lccn/sn94053256/1890-03-31/ed-1/seq-1.pdf
The Wichita daily eagle. [volume],players league,1890-12-10,https://chroniclingamerica.loc.gov/lccn/sn82014635/1890-12-10/ed-1/seq-7.pdf
The Washington times. [volume],players league,1915-02-24,https://chroniclingamerica.loc.gov/lccn/sn84026749/1915-02-24/ed-1/seq-13.pdf
Evening journal. [volume],players league,1890-03-04,https://chroniclingamerica.loc.gov/lccn/sn85042354/1890-03-04/ed-1/seq-4.pdf
Narragansett herald.,players league,1890-05-03,https://chroniclingamerica.loc.gov/lccn/sn92063989/1890-05-03/ed-1/seq-5.pdf
Pittsburg dispatch. [volume],players league,1890-08-31,https://chroniclingamerica.loc.gov/lccn/sn84024546/1890-08-31/ed-1/seq-14.pdf
The Chickasha daily express.,players league,1914-08-15,https://chroniclingamerica.loc.gov/lccn/sn86090528/1914-08-15/ed-1/seq-4.pdf
Pittsburg dispatch. [volume],players league,1889-11-30,https://chroniclingamerica.loc.gov/lccn/sn84024546/1889-11-30/ed-1/seq-6.pdf
The Fargo forum and daily republican. [volume],players league,1912-12-21,https://chroniclingamerica.loc.gov/lccn/sn85042224/1912-12-21/ed-1/seq-11.pdf
The Laramie Republican.,players league,1914-12-15,https://chroniclingamerica.loc.gov/lccn/sn92066979/1914-12-15/ed-1/seq-7.pdf
The Wichita daily eagle. [volume],players league,1890-08-15,https://chroniclingamerica.loc.gov/lccn/sn82014635/1890-08-15/ed-1/seq-3.pdf
Pittsburg dispatch. [volume],players league,1890-04-24,https://chroniclingamerica.loc.gov/lccn/sn84024546/1890-04-24/ed-1/seq-6.pdf
Pittsburg dispatch. [volume],players league,1890-10-02,https://chroniclingamerica.loc.gov/lccn/sn84024546/1890-10-02/ed-1/seq-6.pdf
The Cheyenne daily leader. [volume],players league,1890-06-29,https://chroniclingamerica.loc.gov/lccn/sn86072173/1890-06-29/ed-1/seq-4.pdf
The Washington herald. [volume],players league,1914-10-26,https://chroniclingamerica.loc.gov/lccn/sn83045433/1914-10-26/ed-1/seq-10.pdf
Pittsburg dispatch. [volume],players league,1890-10-11,https://chroniclingamerica.loc.gov/lccn/sn84024546/1890-10-11/ed-1/seq-6.pdf
Pittsburg dispatch. [volume],players league,1889-11-23,https://chroniclingamerica.loc.gov/lccn/sn84024546/1889-11-23/ed-1/seq-6.pdf
Rock Island Argus.,players league,1915-02-17,https://chroniclingamerica.loc.gov/lccn/sn92053934/1915-02-17/ed-1/seq-12.pdf
Waterbury evening Democrat. [volume],players league,1890-08-02,https://chroniclingamerica.loc.gov/lccn/sn94053256/1890-08-02/ed-1/seq-1.pdf
Waterbury evening Democrat. [volume],players league,1890-09-27,https://chroniclingamerica.loc.gov/lccn/sn94053256/1890-09-27/ed-1/seq-1.pdf
The San Francisco call. [volume],players league,1902-12-06,https://chroniclingamerica.loc.gov/lccn/sn85066387/1902-12-06/ed-1/seq-10.pdf
Fisherman & farmer. [volume],players league,1890-08-01,https://chroniclingamerica.loc.gov/lccn/sn91068084/1890-08-01/ed-1/seq-2.pdf
Daily Yellowstone journal. [volume],players league,1890-10-19,https://chroniclingamerica.loc.gov/lccn/sn86075021/1890-10-19/ed-1/seq-4.pdf
The evening times. [volume],players league,1910-01-08,https://chroniclingamerica.loc.gov/lccn/sn85042373/1910-01-08/ed-1/seq-3.pdf
The Anaconda standard. [volume],players league,1890-09-22,https://chroniclingamerica.loc.gov/lccn/sn84036012/1890-09-22/ed-1/seq-7.pdf
The San Francisco call. [volume],players league,1913-10-15,https://chroniclingamerica.loc.gov/lccn/sn85066387/1913-10-15/ed-1/seq-5.pdf
The Bridgeport evening farmer. [volume],players league,1914-11-04,https://chroniclingamerica.loc.gov/lccn/sn84022472/1914-11-04/ed-1/seq-8.pdf
The Bridgeport evening farmer. [volume],players league,1913-08-30,https://chroniclingamerica.loc.gov/lccn/sn84022472/1913-08-30/ed-1/seq-7.pdf
South Bend news-times.,players league,1914-11-11,https://chroniclingamerica.loc.gov/lccn/sn87055779/1914-11-11/ed-1/seq-8.pdf
The Washburn times. [volume],players league,1916-09-07,https://chroniclingamerica.loc.gov/lccn/sn85040437/1916-09-07/ed-1/seq-2.pdf
The Ely miner. [volume],players league,1916-08-25,https://chroniclingamerica.loc.gov/lccn/sn90059182/1916-08-25/ed-1/seq-6.pdf
The Milwaukee leader. [volume],players league,1915-01-08,https://chroniclingamerica.loc.gov/lccn/sn83045293/1915-01-08/ed-1/seq-9.pdf
The Milwaukee leader. [volume],players league,1915-02-18,https://chroniclingamerica.loc.gov/lccn/sn83045293/1915-02-18/ed-1/seq-9.pdf
The Montgomery advertiser. [volume],players league,1915-02-12,https://chroniclingamerica.loc.gov/lccn/sn84020645/1915-02-12/ed-1/seq-11.pdf
The Montgomery advertiser. [volume],players league,1915-02-17,https://chroniclingamerica.loc.gov/lccn/sn84020645/1915-02-17/ed-1/seq-8.pdf
The Indianapolis journal. [volume],players league,1890-01-19,https://chroniclingamerica.loc.gov/lccn/sn82015679/1890-01-19/ed-1/seq-8.pdf
The Irish standard. [volume],players league,1890-03-29,https://chroniclingamerica.loc.gov/lccn/sn90059959/1890-03-29/ed-1/seq-6.pdf
The Indianapolis journal. [volume],players league,1889-12-22,https://chroniclingamerica.loc.gov/lccn/sn82015679/1889-12-22/ed-1/seq-8.pdf
Albuquerque morning journal. [volume],players league,1913-12-10,https://chroniclingamerica.loc.gov/lccn/sn84031081/1913-12-10/ed-1/seq-3.pdf
The Bridgeport evening farmer. [volume],players league,1915-06-23,https://chroniclingamerica.loc.gov/lccn/sn84022472/1915-06-23/ed-1/seq-8.pdf
Newark evening star and Newark advertiser. [volume],players league,1912-04-23,https://chroniclingamerica.loc.gov/lccn/sn91064011/1912-04-23/ed-1/seq-12.pdf
Rock Island Argus.,players league,1914-12-02,https://chroniclingamerica.loc.gov/lccn/sn92053934/1914-12-02/ed-1/seq-10.pdf
Rock Island Argus.,players league,1914-12-24,https://chroniclingamerica.loc.gov/lccn/sn92053934/1914-12-24/ed-1/seq-14.pdf
The Salt Lake tribune. [volume],players league,1904-03-20,https://chroniclingamerica.loc.gov/lccn/sn83045396/1904-03-20/ed-1/seq-6.pdf
Evening public ledger. [volume],players league,1915-01-08,https://chroniclingamerica.loc.gov/lccn/sn83045211/1915-01-08/ed-1/seq-12.pdf
The Daily Missoulian. [volume],players league,1909-01-31,https://chroniclingamerica.loc.gov/lccn/sn83025316/1909-01-31/ed-1/seq-16.pdf
The Topeka state journal. [volume],players league,1917-01-20,https://chroniclingamerica.loc.gov/lccn/sn82016014/1917-01-20/ed-1/seq-4.pdf
Evening journal. [volume],players league,1915-07-27,https://chroniclingamerica.loc.gov/lccn/sn85042354/1915-07-27/ed-1/seq-8.pdf
Atlanta Georgian. [volume],players league,1914-01-25,https://chroniclingamerica.loc.gov/lccn/sn89053729/1914-01-25/ed-3/seq-17.pdf
The Waterbury Democrat. [volume],players league,1940-09-04,https://chroniclingamerica.loc.gov/lccn/sn82014085/1940-09-04/ed-1/seq-15.pdf
The evening tribune.,players league,1898-03-29,https://chroniclingamerica.loc.gov/lccn/sn92064073/1898-03-29/ed-1/seq-2.pdf
Richmond times-dispatch. [volume],players league,1915-01-06,https://chroniclingamerica.loc.gov/lccn/sn83045389/1915-01-06/ed-1/seq-4.pdf
The Kenna record.,players league,1913-09-12,https://chroniclingamerica.loc.gov/lccn/sn93061371/1913-09-12/ed-1/seq-8.pdf
El Paso herald.,players league,1912-10-15,https://chroniclingamerica.loc.gov/lccn/sn88084272/1912-10-15/ed-1/seq-9.pdf
The Tacoma times. [volume],players league,1912-12-17,https://chroniclingamerica.loc.gov/lccn/sn88085187/1912-12-17/ed-1/seq-2.pdf
The Bridgeport evening farmer. [volume],players league,1913-10-10,https://chroniclingamerica.loc.gov/lccn/sn84022472/1913-10-10/ed-1/seq-9.pdf
The Ogden standard. [volume],players league,1915-02-17,https://chroniclingamerica.loc.gov/lccn/sn85058396/1915-02-17/ed-1/seq-2.pdf
The Laramie Republican.,players league,1915-01-09,https://chroniclingamerica.loc.gov/lccn/sn92066979/1915-01-09/ed-1/seq-4.pdf
The Montgomery advertiser. [volume],players league,1925-03-06,https://chroniclingamerica.loc.gov/lccn/sn84020645/1925-03-06/ed-1/seq-6.pdf
San Antonio light and gazette. [volume],players league,1910-02-08,https://chroniclingamerica.loc.gov/lccn/sn86090238/1910-02-08/ed-1/seq-11.pdf
The Salt Lake herald. [volume],players league,1891-01-02,https://chroniclingamerica.loc.gov/lccn/sn85058130/1891-01-02/ed-1/seq-6.pdf
Vilas County news. [volume],players league,1913-09-17,https://chroniclingamerica.loc.gov/lccn/sn85040613/1913-09-17/ed-1/seq-2.pdf
Pittsburg dispatch. [volume],players league,1889-12-28,https://chroniclingamerica.loc.gov/lccn/sn84024546/1889-12-28/ed-1/seq-6.pdf
Pittsburg dispatch. [volume],players league,1890-12-23,https://chroniclingamerica.loc.gov/lccn/sn84024546/1890-12-23/ed-1/seq-6.pdf
Pittsburg dispatch. [volume],players league,1890-09-29,https://chroniclingamerica.loc.gov/lccn/sn84024546/1890-09-29/ed-1/seq-6.pdf
Pittsburg dispatch. [volume],players league,1890-05-24,https://chroniclingamerica.loc.gov/lccn/sn84024546/1890-05-24/ed-1/seq-6.pdf
Waterbury evening Democrat. [volume],players league,1890-10-06,https://chroniclingamerica.loc.gov/lccn/sn94053256/1890-10-06/ed-1/seq-1.pdf
Waterbury Democrat. [volume],players league,1902-06-21,https://chroniclingamerica.loc.gov/lccn/sn93053725/1902-06-21/ed-1/seq-7.pdf
The Washington herald. [volume],players league,1922-10-31,https://chroniclingamerica.loc.gov/lccn/sn83045433/1922-10-31/ed-1/seq-7.pdf
The Cheyenne daily leader. [volume],players league,1891-03-08,https://chroniclingamerica.loc.gov/lccn/sn86072173/1891-03-08/ed-1/seq-2.pdf
The Providence news.,players league,1897-04-15,https://chroniclingamerica.loc.gov/lccn/sn91070630/1897-04-15/ed-1/seq-4.pdf
The Worcester spy. [volume],players league,1900-02-07,https://chroniclingamerica.loc.gov/lccn/sn86086481/1900-02-07/ed-1/seq-3.pdf
The Milwaukee leader. [volume],players league,1914-12-07,https://chroniclingamerica.loc.gov/lccn/sn83045293/1914-12-07/ed-1/seq-5.pdf
The Montgomery advertiser. [volume],players league,1914-10-30,https://chroniclingamerica.loc.gov/lccn/sn84020645/1914-10-30/ed-1/seq-10.pdf
Evening public ledger. [volume],players league,1915-01-07,https://chroniclingamerica.loc.gov/lccn/sn83045211/1915-01-07/ed-1/seq-12.pdf
The Columbian. [volume],players league,1890-04-25,https://chroniclingamerica.loc.gov/lccn/sn83032011/1890-04-25/ed-1/seq-1.pdf
St. Paul daily globe. [volume],players league,1890-11-15,https://chroniclingamerica.loc.gov/lccn/sn90059522/1890-11-15/ed-1/seq-5.pdf
Connecticut western news. [volume],players league,1890-04-23,https://chroniclingamerica.loc.gov/lccn/sn84027718/1890-04-23/ed-1/seq-2.pdf
The press.,players league,1890-10-18,https://chroniclingamerica.loc.gov/lccn/sn87068108/1890-10-18/ed-1/seq-3.pdf
Pittsburg dispatch. [volume],players league,1890-06-23,https://chroniclingamerica.loc.gov/lccn/sn84024546/1890-06-23/ed-1/seq-6.pdf
Pittsburg dispatch. [volume],players league,1890-07-28,https://chroniclingamerica.loc.gov/lccn/sn84024546/1890-07-28/ed-1/seq-6.pdf
The Seattle post-intelligencer. [volume],players league,1890-04-20,https://chroniclingamerica.loc.gov/lccn/sn83045604/1890-04-20/ed-1/seq-2.pdf
Waterbury evening Democrat. [volume],players league,1890-09-06,https://chroniclingamerica.loc.gov/lccn/sn94053256/1890-09-06/ed-1/seq-1.pdf
The record-union. [volume],players league,1891-01-18,https://chroniclingamerica.loc.gov/lccn/sn82015104/1891-01-18/ed-1/seq-8.pdf
The Wichita daily eagle. [volume],players league,1890-07-13,https://chroniclingamerica.loc.gov/lccn/sn82014635/1890-07-13/ed-1/seq-11.pdf
Fort Worth daily gazette.,players league,1890-10-23,https://chroniclingamerica.loc.gov/lccn/sn86064205/1890-10-23/ed-1/seq-2.pdf
The Jersey City news.,players league,1890-04-25,https://chroniclingamerica.loc.gov/lccn/sn87068097/1890-04-25/ed-1/seq-3.pdf
The Milwaukee leader. [volume],players league,1914-12-15,https://chroniclingamerica.loc.gov/lccn/sn83045293/1914-12-15/ed-1/seq-5.pdf
Pittsburg dispatch. [volume],players league,1890-05-09,https://chroniclingamerica.loc.gov/lccn/sn84024546/1890-05-09/ed-1/seq-6.pdf
Atlanta Georgian. [volume],players league,1914-01-25,https://chroniclingamerica.loc.gov/lccn/sn89053729/1914-01-25/ed-1/seq-41.pdf
The Port Gibson reveille. [volume],players league,1916-02-24,https://chroniclingamerica.loc.gov/lccn/sn86090233/1916-02-24/ed-1/seq-5.pdf
The Washington herald. [volume],players league,1914-07-26,https://chroniclingamerica.loc.gov/lccn/sn83045433/1914-07-26/ed-1/seq-11.pdf
The Ogden standard-examiner. [volume],players league,1922-08-15,https://chroniclingamerica.loc.gov/lccn/sn85058393/1922-08-15/ed-1/seq-13.pdf
