newspaper,league,date,url
The Washington times. [volume],negro national league,1936-05-14,https://chroniclingamerica.loc.gov/lccn/sn84026749/1936-05-14/ed-1/seq-49.pdf
The Apache sentinel. [volume],negro national league,1944-03-24,https://chroniclingamerica.loc.gov/lccn/sn95060813/1944-03-24/ed-1/seq-6.pdf
The powder keg. [volume],negro national league,1944-04-21,https://chroniclingamerica.loc.gov/lccn/2023271000/1944-04-21/ed-1/seq-2.pdf
Jackson advocate. [volume],negro national league,1941-08-02,https://chroniclingamerica.loc.gov/lccn/sn79000083/1941-08-02/ed-1/seq-6.pdf
The Washington tribune. [volume],negro national league,1935-06-29,https://chroniclingamerica.loc.gov/lccn/sn87062236/1935-06-29/ed-1/seq-13.pdf
The Phoenix index.,negro national league,1940-06-22,https://chroniclingamerica.loc.gov/lccn/sn96060866/1940-06-22/ed-1/seq-6.pdf
Jackson advocate. [volume],negro national league,1951-01-06,https://chroniclingamerica.loc.gov/lccn/sn79000083/1951-01-06/ed-1/seq-7.pdf
The Michigan chronicle. [volume],negro national league,1942-04-11,https://chroniclingamerica.loc.gov/lccn/sn83045324/1942-04-11/ed-1/seq-16.pdf
The daily bulletin. [volume],negro national league,1945-09-13,https://chroniclingamerica.loc.gov/lccn/sn84024221/1945-09-13/ed-1/seq-1.pdf
The Ypsilanti daily press.,negro national league,1943-07-31,https://chroniclingamerica.loc.gov/lccn/sn97063183/1943-07-31/ed-1/seq-3.pdf
The daily express.,negro national league,1951-02-23,https://chroniclingamerica.loc.gov/lccn/sn88077225/1951-02-23/ed-1/seq-3.pdf
The daily bulletin. [volume],negro national league,1946-08-09,https://chroniclingamerica.loc.gov/lccn/sn84024221/1946-08-09/ed-1/seq-4.pdf
The daily bulletin. [volume],negro national league,1946-09-24,https://chroniclingamerica.loc.gov/lccn/sn84024221/1946-09-24/ed-1/seq-3.pdf
The daily express.,negro national league,1951-02-23,https://chroniclingamerica.loc.gov/lccn/sn88077225/1951-02-23/ed-1/seq-1.pdf
The Chicago whip.,negro national league,1922-07-22,https://chroniclingamerica.loc.gov/lccn/sn86056950/1922-07-22/ed-1/seq-7.pdf
The Key West citizen. [volume],negro national league,1953-02-26,https://chroniclingamerica.loc.gov/lccn/sn83016244/1953-02-26/ed-1/seq-7.pdf
The Ohio daily-express.,negro national league,1950-07-18,https://chroniclingamerica.loc.gov/lccn/sn88077226/1950-07-18/ed-1/seq-3.pdf
The daily bulletin. [volume],negro national league,1945-11-21,https://chroniclingamerica.loc.gov/lccn/sn84024221/1945-11-21/ed-1/seq-1.pdf
Jackson advocate. [volume],negro national league,1943-07-24,https://chroniclingamerica.loc.gov/lccn/sn79000083/1943-07-24/ed-1/seq-7.pdf
The Detroit tribune.,negro national league,1942-07-25,https://chroniclingamerica.loc.gov/lccn/sn92063852/1942-07-25/ed-1/seq-11.pdf
Sunday Chicago bee. [volume],negro national league,1938-05-01,https://chroniclingamerica.loc.gov/lccn/sn82015409/1938-05-01/ed-1/seq-10.pdf
Hartford-Springfield chronicle. [volume],negro national league,1940-06-15,https://chroniclingamerica.loc.gov/lccn/sn95063011/1940-06-15/ed-1/seq-7.pdf
The Washington tribune. [volume],negro national league,1924-03-01,https://chroniclingamerica.loc.gov/lccn/sn87062236/1924-03-01/ed-1/seq-4.pdf
The Washington tribune. [volume],negro national league,1926-01-02,https://chroniclingamerica.loc.gov/lccn/sn87062236/1926-01-02/ed-1/seq-6.pdf
The Apache sentinel. [volume],negro national league,1943-07-16,https://chroniclingamerica.loc.gov/lccn/sn95060813/1943-07-16/ed-1/seq-3.pdf
Arizona sun. [volume],negro national league,1947-06-06,https://chroniclingamerica.loc.gov/lccn/sn84021917/1947-06-06/ed-1/seq-5.pdf
The Miami times. [volume],negro national league,1951-02-03,https://chroniclingamerica.loc.gov/lccn/sn83004231/1951-02-03/ed-1/seq-3.pdf
Jackson advocate. [volume],negro national league,1942-05-02,https://chroniclingamerica.loc.gov/lccn/sn79000083/1942-05-02/ed-1/seq-6.pdf
The Michigan chronicle. [volume],negro national league,1942-05-23,https://chroniclingamerica.loc.gov/lccn/sn83045324/1942-05-23/ed-1/seq-12.pdf
Jackson advocate. [volume],negro national league,1948-11-27,https://chroniclingamerica.loc.gov/lccn/sn79000083/1948-11-27/ed-1/seq-4.pdf
The daily bulletin. [volume],negro national league,1946-08-21,https://chroniclingamerica.loc.gov/lccn/sn84024221/1946-08-21/ed-1/seq-1.pdf
The Miami times. [volume],negro national league,1949-05-07,https://chroniclingamerica.loc.gov/lccn/sn83004231/1949-05-07/ed-1/seq-16.pdf
Brewery Gulch gazette. [volume],negro national league,1950-04-06,https://chroniclingamerica.loc.gov/lccn/sn89070012/1950-04-06/ed-1/seq-8.pdf
The Michigan chronicle. [volume],negro national league,1944-12-30,https://chroniclingamerica.loc.gov/lccn/sn83045324/1944-12-30/ed-1/seq-9.pdf
The Detroit tribune.,negro national league,1942-04-11,https://chroniclingamerica.loc.gov/lccn/sn92063852/1942-04-11/ed-1/seq-7.pdf
The Michigan chronicle. [volume],negro national league,1943-05-29,https://chroniclingamerica.loc.gov/lccn/sn83045324/1943-05-29/ed-1/seq-20.pdf
Evening star. [volume],negro national league,1948-05-21,https://chroniclingamerica.loc.gov/lccn/sn83045462/1948-05-21/ed-1/seq-44.pdf
The Detroit tribune.,negro national league,1943-04-17,https://chroniclingamerica.loc.gov/lccn/sn92063852/1943-04-17/ed-1/seq-11.pdf
The Michigan chronicle. [volume],negro national league,1945-08-18,https://chroniclingamerica.loc.gov/lccn/sn83045324/1945-08-18/ed-1/seq-16.pdf
The Michigan chronicle. [volume],negro national league,1942-06-06,https://chroniclingamerica.loc.gov/lccn/sn83045324/1942-06-06/ed-1/seq-17.pdf
Evening star. [volume],negro national league,1951-05-24,https://chroniclingamerica.loc.gov/lccn/sn83045462/1951-05-24/ed-1/seq-57.pdf
The Detroit tribune.,negro national league,1942-08-01,https://chroniclingamerica.loc.gov/lccn/sn92063852/1942-08-01/ed-1/seq-11.pdf
The Birmingham age-herald. [volume],negro national league,1923-07-20,https://chroniclingamerica.loc.gov/lccn/sn85038485/1923-07-20/ed-1/seq-13.pdf
The Michigan chronicle. [volume],negro national league,1942-05-02,https://chroniclingamerica.loc.gov/lccn/sn83045324/1942-05-02/ed-1/seq-14.pdf
The Washington times. [volume],negro national league,1937-07-12,https://chroniclingamerica.loc.gov/lccn/sn84026749/1937-07-12/ed-1/seq-18.pdf
The Washington tribune. [volume],negro national league,1924-02-23,https://chroniclingamerica.loc.gov/lccn/sn87062236/1924-02-23/ed-1/seq-4.pdf
The Chicago whip.,negro national league,1921-06-04,https://chroniclingamerica.loc.gov/lccn/sn86056950/1921-06-04/ed-1/seq-7.pdf
Jackson advocate. [volume],negro national league,1951-03-10,https://chroniclingamerica.loc.gov/lccn/sn79000083/1951-03-10/ed-1/seq-7.pdf
The Chicago whip.,negro national league,1921-05-14,https://chroniclingamerica.loc.gov/lccn/sn86056950/1921-05-14/ed-1/seq-7.pdf
The Michigan chronicle. [volume],negro national league,1943-08-14,https://chroniclingamerica.loc.gov/lccn/sn83045324/1943-08-14/ed-1/seq-18.pdf
